,BLEU,chrF,ROUGE-1,ROUGE-L,METEOR,BERTScore-F1
Assamese,21.14,43.65,49.15,44.84,44.91,90.03
Khasi,10.22,31.52,36.0,31.08,30.06,86.0
Mizo,17.51,37.37,40.95,37.1,36.78,87.86
Karbi,5.1,30.98,26.14,23.55,24.37,83.9
Manipuri,27.35,55.54,58.72,54.48,56.71,91.9
Bodo,3.16,22.85,19.85,17.35,18.77,84.65
Kokborok,1.78,16.6,10.86,9.23,11.53,80.02
Tagin,2.13,11.25,5.88,5.72,4.8,81.19
Nagamese,12.5,39.07,34.06,30.09,33.82,87.65
Meitei-Mayek,0.01,0.12,0.74,0.72,0.82,71.01
Nyishi,0.27,10.79,7.1,6.97,5.28,79.91
OVERALL (Macro Avg),9.2,27.25,26.31,23.74,24.35,84.01
